iter	MAPE
0	0.6204753161
1	0.6150627431
2	0.6096319137
3	0.6040700026
4	0.5985490476
5	0.5932754752
6	0.5887209275
7	0.5843922148
8	0.5805911368
9	0.57623871
10	0.5730814697
11	0.570691776
12	0.5672124703
13	0.564649545
14	0.561673478
15	0.5576981993
16	0.5549532546
17	0.5526509411
18	0.5497845496
19	0.5471842673
20	0.5450176514
21	0.5435845816
22	0.5418583602
23	0.5405152712
24	0.5390609982
25	0.5365671051
26	0.5344819713
27	0.5335943341
28	0.5320878107
29	0.5311524113
30	0.5297220392
31	0.5283355948
32	0.5274540354
33	0.5266205953
34	0.5256305599
35	0.5251567823
36	0.5240846319
37	0.5229178512
38	0.5218282362
39	0.5210067422
40	0.520366574
41	0.5196115775
42	0.5192430569
43	0.5186535348
44	0.5179019982
45	0.5174913374
46	0.5169619752
47	0.5165190101
48	0.5154742381
49	0.5150450088
50	0.5141152807
51	0.5133265936
52	0.5128218549
53	0.5124568436
54	0.5109208105
55	0.5105911866
56	0.5102937566
57	0.5099882909
58	0.5094032801
59	0.5090583733
60	0.5084379388
61	0.5081226153
62	0.507914997
63	0.5072114488
64	0.5066763712
65	0.5064904811
66	0.506299467
67	0.5058240775
68	0.5055783867
69	0.5054126397
70	0.5049870078
71	0.5047940719
72	0.5045313741
73	0.5041677278
74	0.5040016885
75	0.5038417477
76	0.5035884728
77	0.503216532
78	0.503039062
79	0.5028454241
80	0.5027288069
81	0.5025715275
82	0.5022823156
83	0.5019849886
84	0.5017502158
85	0.5016129889
86	0.50113888
87	0.5006784879
88	0.5005635875
89	0.5004019036
90	0.500284283
91	0.5000695062
92	0.4995669757
93	0.4985176694
94	0.4982806728
95	0.4981923407
96	0.4978226716
97	0.4977881723
98	0.4959358865
99	0.49582177
100	0.4956209867
101	0.4952965626
102	0.4950212838
103	0.4949650219
104	0.4947731692
105	0.4946278125
106	0.4942851582
107	0.494145404
108	0.4939307428
109	0.493800628
110	0.4937537172
111	0.4936037268
112	0.4935556232
113	0.4935214923
114	0.4933929691
115	0.4933002126
116	0.4932017342
117	0.4929142975
118	0.491860098
119	0.4918163349
120	0.4915292955
121	0.4915078347
122	0.4914841443
123	0.4912680604
124	0.4906875558
125	0.4904490116
126	0.489966458
127	0.4897638219
128	0.4894391201
129	0.4893178638
130	0.4892638096
131	0.4892397755
132	0.4891309459
133	0.4890775616
134	0.4889905659
135	0.4889605495
136	0.4889481273
137	0.4885065476
138	0.4884817286
139	0.4883031
140	0.4881569499
141	0.4880508689
142	0.4879061122
143	0.4873611133
144	0.4872887075
145	0.4869693162
146	0.486856062
147	0.4863789712
148	0.4863709623
149	0.486142089
150	0.4860496511
151	0.4859716157
152	0.4858899963
153	0.4857347424
154	0.4857131868
155	0.4855942314
156	0.4855450416
157	0.4855426382
158	0.4854792391
159	0.4853097345
160	0.4852494727
161	0.4852279568
162	0.4851776208
163	0.4850049083
164	0.4849924741
165	0.4848381188
166	0.4846873639
167	0.4846751422
168	0.4846711548
169	0.4846222483
170	0.4846178924
171	0.4843318268
172	0.4842743041
173	0.4842291103
174	0.4842159005
175	0.4842124189
176	0.4842028988
177	0.4841516995
178	0.4840017712
179	0.4839075772
180	0.4838851886
181	0.4838748359
182	0.4838688172
183	0.4838420629
184	0.4836742716
185	0.4829803537
186	0.4829771059
187	0.4824922098
188	0.4824138038
189	0.4823914316
190	0.4823674297
191	0.4822665464
192	0.482262899
193	0.4822591255
194	0.4822516575
195	0.4822410415
196	0.4822380998
197	0.4822347986
198	0.4822270044
199	0.4821955925
200	0.4821892849
201	0.4821425397
202	0.4819706509
203	0.4818287361
204	0.4818159135
205	0.4817904749
206	0.4815499914
207	0.4811203096
208	0.481040212
209	0.4810346906
210	0.4810265115
211	0.4809702532
212	0.4808883702
213	0.4807956336
214	0.480780861
215	0.4806695275
216	0.4806472891
217	0.4806417654
218	0.4801425818
219	0.4796898767
220	0.4795970105
221	0.4795942679
222	0.479562838
223	0.4795229688
224	0.4795155085
225	0.4794515961
226	0.4792847457
227	0.4791894505
228	0.4790905516
229	0.4790758866
230	0.4787977136
231	0.4787451561
232	0.4786909545
233	0.4786042057
234	0.4785326932
235	0.4784882865
236	0.4784846168
237	0.4784132392
238	0.4782911864
239	0.4782751365
240	0.4782714323
241	0.4781906248
242	0.4781775398
243	0.4781538494
244	0.4781402619
245	0.4780698512
246	0.4779575317
247	0.477801993
248	0.4777846147
249	0.4776691492
250	0.4776393576
251	0.4773568484
252	0.4773417768
253	0.4773387867
254	0.4773223419
255	0.4772315017
256	0.4772284876
257	0.4772121833
258	0.4772086025
259	0.4770822348
260	0.477074419
261	0.4770696274
262	0.4770663473
263	0.476985811
264	0.4766408375
265	0.4765853441
266	0.4762490338
267	0.4762073436
268	0.476202572
269	0.475204579
270	0.4751959418
271	0.4751094135
272	0.4750264865
273	0.4750193524
274	0.4749255561
275	0.4749235422
276	0.4749208585
277	0.4749145013
278	0.4749123597
279	0.4745338404
280	0.4742930621
281	0.4742868993
282	0.4742110477
283	0.4738935951
284	0.4738910834
285	0.4738032797
286	0.4737186279
287	0.4737173811
288	0.4737143453
289	0.4736565449
290	0.4736519964
291	0.4736244877
292	0.4736230212
293	0.4735729172
294	0.4735245219
295	0.4730074944
296	0.4729102933
297	0.4728916921
298	0.4723133971
299	0.4723109357
300	0.4720779435
301	0.4714771801
302	0.4714182753
303	0.4713829721
304	0.4713807135
305	0.4710085676
306	0.4709581294
307	0.4708136065
308	0.4708092112
309	0.4708047723
310	0.4707966631
311	0.4704995161
312	0.4702233723
313	0.4702202935
314	0.4702189621
315	0.4701555374
316	0.4701315624
317	0.4701171411
318	0.4701162409
319	0.4700502254
320	0.4700494748
321	0.4700440797
322	0.4697055151
323	0.4697027051
324	0.4694684391
325	0.4694677292
326	0.4694602758
327	0.4694473224
328	0.4691950024
329	0.4691892221
330	0.469182141
331	0.4690837104
332	0.4688569392
333	0.4688551131
334	0.4687325528
335	0.4685783181
336	0.4685697703
337	0.4685657077
338	0.4685428213
339	0.468518257
340	0.4684824152
341	0.468481321
342	0.4684778447
343	0.4684768587
344	0.4684226771
345	0.4683830031
346	0.4683727252
347	0.4683651978
348	0.4682991141
349	0.4682908772
