iter	Passed	Remaining
0	404	403879
1	692	345400
2	1052	349743
3	1361	339029
4	1696	337645
5	1994	330340
6	2304	326892
7	2583	320408
8	2929	322549
9	3175	314403
10	3524	316853
11	3791	312171
12	4105	311717
13	4397	309729
14	4705	308991
15	5024	309024
16	5342	308922
17	5658	308724
18	5960	307757
19	6296	308544
20	6638	309496
21	6952	309077
22	7238	307492
23	7520	305823
24	7759	302608
25	8081	302754
26	8393	302487
27	8639	299919
28	8882	297413
29	9204	297620
30	9438	295029
31	9756	295133
32	10028	293853
33	10333	293579
34	10616	292701
35	10935	292815
36	11248	292766
37	11591	293455
38	11871	292517
39	12228	293483
40	12525	292969
41	12819	292398
42	13192	293614
43	13525	293872
44	13861	294182
45	14130	293054
46	14447	292937
47	14713	291817
48	15002	291167
49	15315	290997
50	15654	291303
51	15970	291147
52	16312	291466
53	16589	290625
54	16869	289843
55	17180	289610
56	17543	290238
57	17852	289947
58	18188	290097
59	18415	288504
60	18752	288670
61	19041	288076
62	19347	287748
63	19608	286780
64	19861	285702
65	20114	284651
66	20487	285300
67	20793	284996
68	21128	285079
69	21321	283268
70	21658	283391
71	21980	283305
72	22388	284298
73	22610	282937
74	22929	282795
75	23196	282023
76	23544	282231
77	23895	282453
78	24206	282203
79	24505	281807
80	24824	281653
81	25133	281373
82	25439	281061
83	25740	280689
84	26009	279986
85	26366	280225
86	26684	280034
87	27028	280113
88	27339	279845
89	27705	280131
90	28046	280161
91	28385	280152
92	28670	279614
93	29029	279790
94	29399	280072
95	29709	279765
96	30039	279647
97	30372	279549
98	30682	279238
99	31039	279358
100	31410	279585
101	31770	279701
102	32138	279884
103	32482	279846
104	32828	279826
105	33105	279213
106	33419	278913
107	33751	278758
108	34036	278224
109	34376	278134
110	34712	278010
111	35016	277633
112	35351	277491
113	35651	277078
114	35973	276839
115	36269	276399
116	36615	276334
117	36994	276520
118	37367	276644
119	37703	276490
120	38059	276480
121	38346	275968
122	38634	275464
123	38974	275339
124	39246	274726
125	39508	274054
126	39798	273572
127	40019	272631
128	40306	272150
129	40654	272073
130	41016	272087
131	41348	271897
132	41608	271239
133	41958	271161
134	42287	270955
135	42643	270912
136	42976	270719
137	43293	270425
138	43632	270272
139	43914	269763
140	44230	269461
141	44556	269220
142	44879	268963
143	45175	268540
144	45526	268447
145	45830	268078
146	46169	267907
147	46558	268026
148	46906	267901
149	47240	267693
150	47603	267649
151	47913	267306
152	48179	266717
153	48405	265914
154	48679	265380
155	49020	265214
156	49367	265074
157	49732	265028
158	50060	264787
159	50417	264690
160	50759	264517
161	51073	264196
162	51406	263972
163	51760	263853
164	52080	263556
165	52358	263052
166	52725	262995
167	53176	263347
168	53494	263040
169	53855	262943
170	54170	262615
171	54458	262161
172	54784	261891
173	55154	261823
174	55470	261504
175	55810	261296
176	56087	260792
177	56454	260705
178	56810	260567
179	57165	260419
180	57518	260262
181	57825	259898
182	58074	259271
183	58418	259072
184	58679	258506
185	58964	258048
186	59211	257425
187	59536	257147
188	59852	256827
189	60161	256476
190	60460	256084
191	60680	255362
192	61019	255145
193	61333	254819
194	61592	254265
195	62006	254351
196	62423	254445
197	62756	254194
198	63082	253913
199	63326	253307
200	63715	253277
201	63990	252793
202	64337	252597
203	64670	252340
204	65015	252133
205	65327	251794
206	65632	251431
207	65938	251072
